state,state_code,county,county_code,deaths,population,crude_rate
AL,01,"Autauga County, AL",01001,34,920175,3.7
AL,01,"Baldwin County, AL",01003,73,3104213,2.4
AL,01,"Barbour County, AL",01005,14,499605,
AL,01,"Bibb County, AL",01007,14,397480,
AL,01,"Blount County, AL",01009,74,997776,7.4
AL,01,"Calhoun County, AL",01015,45,2074478,2.2
AL,01,"Chambers County, AL",01017,10,628932,
AL,01,"Cherokee County, AL",01019,27,455087,5.9
AL,01,"Chilton County, AL",01021,16,762939,
AL,01,"Choctaw County, AL",01023,11,258321,
AL,01,"Clarke County, AL",01025,25,472909,5.3
AL,01,"Coffee County, AL",01031,20,857552,2.3
AL,01,"Colbert County, AL",01033,33,980863,3.4
AL,01,"Conecuh County, AL",01035,25,240060,10.4
AL,01,"Coosa County, AL",01037,31,204784,15.1
AL,01,"Covington County, AL",01039,19,675450,
AL,01,"Crenshaw County, AL",01041,10,249207,
AL,01,"Cullman County, AL",01043,96,1431088,6.7
AL,01,"Dale County, AL",01045,14,891572,
AL,01,"Dallas County, AL",01047,53,790398,6.7
AL,01,"DeKalb County, AL",01049,31,1237877,2.5
AL,01,"Elmore County, AL",01051,18,1354531,
AL,01,"Escambia County, AL",01053,40,683449,5.9
AL,01,"Etowah County, AL",01055,44,1864778,2.4
AL,01,"Fayette County, AL",01057,19,316518,
AL,01,"Franklin County, AL",01059,11,564069,
AL,01,"Henry County, AL",01067,34,304556,11.2
AL,01,"Houston County, AL",01069,35,1750954,2.0
AL,01,"Jackson County, AL",01071,60,959194,6.3
AL,01,"Jefferson County, AL",01073,758,11854635,6.4
AL,01,"Lauderdale County, AL",01077,56,1632135,3.4
AL,01,"Lawrence County, AL",01079,19,614698,
AL,01,"Lee County, AL",01081,43,2418094,1.8
AL,01,"Limestone County, AL",01083,38,1404371,2.7
AL,01,"Macon County, AL",01087,20,391167,5.1
AL,01,"Madison County, AL",01089,143,5712479,2.5
AL,01,"Marengo County, AL",01091,24,382442,6.3
AL,01,"Marion County, AL",01093,12,551156,
AL,01,"Marshall County, AL",01095,89,1608450,5.5
AL,01,"Mobile County, AL",01097,533,7321586,7.3
AL,01,"Monroe County, AL",01099,46,417677,11.0
AL,01,"Montgomery County, AL",01101,78,4070088,1.9
AL,01,"Morgan County, AL",01103,93,2091395,4.4
AL,01,"Pike County, AL",01109,18,569863,
AL,01,"Randolph County, AL",01111,10,407079,
